order_line_id,order_id,customer_id,customer_name,region,segment,email,order_date,order_month,channel,status,include_in_sales_kpi,product_id,product_name,category,list_price,quantity,unit_price,discount_rate,return_events,latest_return_date,gross_sales,discounts,sales_before_returns,refunds,net_sales,sold_units,returned_units,line_source_row,order_source_row,customer_source_row,product_source_row
L000001,O00001,C0188,Customer 0188,South,Business,,2025-03-25,2025-03,Store,Completed,True,P010,Chair 010,Furniture,211.00,1,211.00,0.2,0,,211.00,42.200,168.800,0.000,168.800,1,0,2,2,189,11
L000002,O00002,C0231,Customer 0231,West,Business,customer231@example.com,2025-08-29,2025-08,Store,Completed,True,P016,Desk 016,Furniture,231.00,1,231.00,0.10,0,,231.00,23.1000,207.9000,0.0000,207.9000,1,0,3,3,232,17
L000003,O00003,C0023,Customer 0023,South,Consumer,customer23@example.com,2025-08-08,2025-08,Store,Completed,True,P024,Desk 024,Furniture,81.00,3,81.00,0.05,0,,243.00,12.1500,230.8500,0.0000,230.8500,3,0,4,4,24,25
L000004,O00003,C0023,Customer 0023,South,Consumer,customer23@example.com,2025-08-08,2025-08,Store,Completed,True,P012,Desk 012,Furniture,134.00,3,134.00,0.05,0,,402.00,20.1000,381.9000,0.0000,381.9000,3,0,5,4,24,13
L000005,O00003,C0023,Customer 0023,South,Consumer,customer23@example.com,2025-08-08,2025-08,Store,Completed,True,P009,Lamp 009,Lighting,93.00,2,93.00,0.05,0,,186.00,9.3000,176.7000,0.0000,176.7000,2,0,6,4,24,10
L000006,O00004,C0237,Customer 0237,South,Consumer,customer237@example.com,2025-11-13,2025-11,Store,Completed,True,P022,Chair 022,Furniture,134.00,2,134.00,0.20,0,,268.00,53.6000,214.4000,0.0000,214.4000,2,0,7,5,238,23
L000007,O00004,C0237,Customer 0237,South,Consumer,customer237@example.com,2025-11-13,2025-11,Store,Completed,True,P002,Chair 002,Furniture,284.00,1,284.00,0.05,0,,284.00,14.2000,269.8000,0.0000,269.8000,1,0,8,5,238,3
L000008,O00004,C0237,Customer 0237,South,Consumer,customer237@example.com,2025-11-13,2025-11,Store,Completed,True,P018,Chair 018,Furniture,269.00,1,269.00,0.00,0,,269.00,0.0000,269.0000,0.0000,269.0000,1,0,9,5,238,19
L000009,O00005,C0270,Customer 0270,East,Business,customer270@example.com,2025-10-16,2025-10,Store,Completed,True,P006,Chair 006,Furniture,196.00,2,196.00,0.20,0,,392.00,78.4000,313.6000,0.0000,313.6000,2,0,10,6,271,7
L000010,O00005,C0270,Customer 0270,East,Business,customer270@example.com,2025-10-16,2025-10,Store,Completed,True,P008,Desk 008,Furniture,188.00,2,188.00,0.10,0,,376.00,37.6000,338.4000,0.0000,338.4000,2,0,11,6,271,9
L000011,O00005,C0270,Customer 0270,East,Business,customer270@example.com,2025-10-16,2025-10,Store,Completed,True,P019,Shelf 019,Storage,78.00,5,78.00,0.20,0,,390.00,78.0000,312.0000,0.0000,312.0000,5,0,12,6,271,20
L000012,O00005,C0270,Customer 0270,East,Business,customer270@example.com,2025-10-16,2025-10,Store,Completed,True,P007,Shelf 007,Storage,35.00,3,35.00,0.05,0,,105.00,5.2500,99.7500,0.0000,99.7500,3,0,13,6,271,8
L000013,O00006,C0253,Customer 0253,North,Consumer,customer253@example.com,2025-10-14,2025-10,Online,Cancelled,False,P013,Lamp 013,Lighting,271.00,2,271.00,0.00,0,,542.00,0.0000,542.0000,0.0000,542.0000,2,0,14,7,254,14
L000014,O00006,C0253,Customer 0253,North,Consumer,customer253@example.com,2025-10-14,2025-10,Online,Cancelled,False,P012,Desk 012,Furniture,134.00,1,134.00,0.20,0,,134.00,26.8000,107.2000,0.0000,107.2000,1,0,15,7,254,13
L000015,O00006,C0253,Customer 0253,North,Consumer,customer253@example.com,2025-10-14,2025-10,Online,Cancelled,False,P018,Chair 018,Furniture,269.00,2,269.00,0.00,0,,538.00,0.0000,538.0000,0.0000,538.0000,2,0,16,7,254,19
L000016,O00007,C0228,Customer 0228,East,Business,customer228@example.com,2025-11-09,2025-11,Online,Completed,True,P020,Desk 020,Furniture,189.00,3,189.00,0.10,0,,567.00,56.7000,510.3000,0.0000,510.3000,3,0,17,8,229,21
L000017,O00007,C0228,Customer 0228,East,Business,customer228@example.com,2025-11-09,2025-11,Online,Completed,True,P006,Chair 006,Furniture,196.00,2,196.00,0.00,0,,392.00,0.0000,392.0000,0.0000,392.0000,2,0,18,8,229,7
L000018,O00008,C0010,Customer 0010,West,Consumer,customer10@example.com,2025-03-17,2025-03,Online,Completed,True,P005,Lamp 005,Lighting,65.00,2,65.00,0.00,0,,130.00,0.0000,130.0000,0.0000,130.0000,2,0,19,9,11,6
L000019,O00008,C0010,Customer 0010,West,Consumer,customer10@example.com,2025-03-17,2025-03,Online,Completed,True,P002,Chair 002,Furniture,284.00,1,284.00,0.10,0,,284.00,28.4000,255.6000,0.0000,255.6000,1,0,20,9,11,3
L000020,O00009,C0286,Customer 0286,West,Business,customer286@example.com,2025-11-04,2025-11,Online,Completed,True,P009,Lamp 009,Lighting,93.00,4,93.00,0.00,0,,372.00,0.0000,372.0000,0.0000,372.0000,4,0,21,10,287,10
L000021,O00009,C0286,Customer 0286,West,Business,customer286@example.com,2025-11-04,2025-11,Online,Completed,True,P007,Shelf 007,Storage,35.00,3,35.00,0.05,0,,105.00,5.2500,99.7500,0.0000,99.7500,3,0,22,10,287,8
L000022,O00010,C0109,Customer 0109,West,Business,customer109@example.com,2025-07-03,2025-07,Store,Completed,True,P003,Shelf 003,Storage,199.00,4,199.00,0.00,0,,796.00,0.0000,796.0000,0.0000,796.0000,4,0,23,11,110,4
L000023,O00011,C0280,Customer 0280,North,Business,customer280@example.com,2025-10-20,2025-10,Store,Completed,True,P010,Chair 010,Furniture,211.00,2,211.00,0.05,0,,422.00,21.1000,400.9000,0.0000,400.9000,2,0,24,12,281,11
L000024,O00011,C0280,Customer 0280,North,Business,customer280@example.com,2025-10-20,2025-10,Store,Completed,True,P020,Desk 020,Furniture,189.00,1,189.00,0.10,1,2025-10-21,189.00,18.9000,170.1000,170.1000,0.0000,1,1,25,12,281,21
L000025,O00011,C0280,Customer 0280,North,Business,customer280@example.com,2025-10-20,2025-10,Store,Completed,True,P014,Chair 014,Furniture,294.00,5,294.00,0.00,0,,1470.00,0.0000,1470.0000,0.0000,1470.0000,5,0,26,12,281,15
L000026,O00011,C0280,Customer 0280,North,Business,customer280@example.com,2025-10-20,2025-10,Store,Completed,True,P021,Lamp 021,Lighting,249.00,3,249.00,0.05,1,2025-11-18,747.00,37.3500,709.6500,236.5500,473.1000,3,1,27,12,281,22
L000027,O00012,C0293,Customer 0293,North,Business,customer293@example.com,2025-12-02,2025-12,Online,Completed,True,P020,Desk 020,Furniture,189.00,2,189.00,0.20,0,,378.00,75.6000,302.4000,0.0000,302.4000,2,0,28,13,294,21
L000028,O00012,C0293,Customer 0293,North,Business,customer293@example.com,2025-12-02,2025-12,Online,Completed,True,P019,Shelf 019,Storage,78.00,3,78.00,0.20,0,,234.00,46.8000,187.2000,0.0000,187.2000,3,0,29,13,294,20
L000029,O00012,C0293,Customer 0293,North,Business,customer293@example.com,2025-12-02,2025-12,Online,Completed,True,P001,Lamp 001,Lighting,122.00,4,122.00,0.05,0,,488.00,24.4000,463.6000,0.0000,463.6000,4,0,30,13,294,2
L000030,O00012,C0293,Customer 0293,North,Business,customer293@example.com,2025-12-02,2025-12,Online,Completed,True,P023,Shelf 023,Storage,68.00,4,68.00,0.00,0,,272.00,0.0000,272.0000,0.0000,272.0000,4,0,31,13,294,24
L000031,O00013,C0250,Customer 0250,West,Consumer,customer250@example.com,2025-05-23,2025-05,Online,Completed,True,P022,Chair 022,Furniture,134.00,2,134.00,0.20,0,,268.00,53.6000,214.4000,0.0000,214.4000,2,0,32,14,251,23
L000032,O00014,C0064,Customer 0064,North,Business,customer64@example.com,2025-07-10,2025-07,Online,Completed,True,P011,Shelf 011,Storage,80.00,4,80.00,0.05,1,2025-08-08,320.00,16.0000,304.0000,304.0000,0.0000,4,4,33,15,65,12
L000033,O00015,C0056,Customer 0056,North,Consumer,customer56@example.com,2025-08-12,2025-08,Store,Completed,True,P008,Desk 008,Furniture,188.00,1,188.00,0.10,0,,188.00,18.8000,169.2000,0.0000,169.2000,1,0,34,16,57,9
L000034,O00015,C0056,Customer 0056,North,Consumer,customer56@example.com,2025-08-12,2025-08,Store,Completed,True,P018,Chair 018,Furniture,269.00,4,269.00,0.20,0,,1076.00,215.2000,860.8000,0.0000,860.8000,4,0,35,16,57,19
L000035,O00015,C0056,Customer 0056,North,Consumer,customer56@example.com,2025-08-12,2025-08,Store,Completed,True,P021,Lamp 021,Lighting,249.00,2,249.00,0.00,0,,498.00,0.0000,498.0000,0.0000,498.0000,2,0,36,16,57,22
L000036,O00015,C0056,Customer 0056,North,Consumer,customer56@example.com,2025-08-12,2025-08,Store,Completed,True,P014,Chair 014,Furniture,294.00,5,294.00,0.05,0,,1470.00,73.5000,1396.5000,0.0000,1396.5000,5,0,37,16,57,15
L000037,O00016,C0275,Customer 0275,East,Business,customer275@example.com,2025-06-01,2025-06,Store,Completed,True,P006,Chair 006,Furniture,196.00,4,196.00,0.10,0,,784.00,78.4000,705.6000,0.0000,705.6000,4,0,38,17,276,7
