customer_id,customer_name,region,segment,email,source_row
C0001,Customer 0001,East,Business,,2
C0002,Customer 0002,West,Consumer,customer2@example.com,3
C0003,Customer 0003,North,Business,customer3@example.com,4
C0004,Customer 0004,North,Consumer,customer4@example.com,5
C0005,Customer 0005,South,Business,customer5@example.com,6
C0006,Customer 0006,East,Consumer,customer6@example.com,7
C0007,Customer 0007,North,Consumer,customer7@example.com,8
C0008,Customer 0008,North,Consumer,customer8@example.com,9
C0009,Customer 0009,South,Business,customer9@example.com,10
C0010,Customer 0010,West,Consumer,customer10@example.com,11
C0011,Customer 0011,North,Business,customer11@example.com,12
C0012,Customer 0012,West,Consumer,customer12@example.com,13
C0013,Customer 0013,West,Business,customer13@example.com,14
C0014,Customer 0014,North,Business,customer14@example.com,15
C0015,Customer 0015,West,Consumer,customer15@example.com,16
C0016,Customer 0016,East,Consumer,customer16@example.com,17
C0017,Customer 0017,South,Consumer,customer17@example.com,18
C0018,Customer 0018,North,Consumer,,19
C0019,Customer 0019,North,Business,customer19@example.com,20
C0020,Customer 0020,West,Consumer,customer20@example.com,21
C0021,Customer 0021,West,Business,customer21@example.com,22
C0022,Customer 0022,East,Consumer,customer22@example.com,23
C0023,Customer 0023,South,Consumer,customer23@example.com,24
C0024,Customer 0024,South,Business,customer24@example.com,25
C0025,Customer 0025,East,Business,customer25@example.com,26
C0026,Customer 0026,South,Consumer,customer26@example.com,27
C0027,Customer 0027,North,Consumer,customer27@example.com,28
C0028,Customer 0028,West,Consumer,customer28@example.com,29
C0029,Customer 0029,East,Consumer,customer29@example.com,30
C0030,Customer 0030,South,Business,customer30@example.com,31
C0031,Customer 0031,South,Consumer,customer31@example.com,32
C0032,Customer 0032,North,Business,customer32@example.com,33
C0033,Customer 0033,South,Business,customer33@example.com,34
C0034,Customer 0034,East,Consumer,customer34@example.com,35
C0035,Customer 0035,South,Business,,36
C0036,Customer 0036,West,Consumer,customer36@example.com,37
C0037,Customer 0037,East,Business,customer37@example.com,38
C0038,Customer 0038,South,Consumer,customer38@example.com,39
C0039,Customer 0039,North,Business,customer39@example.com,40
C0040,Customer 0040,North,Consumer,customer40@example.com,41
C0041,Customer 0041,West,Business,customer41@example.com,42
C0042,Customer 0042,South,Consumer,customer42@example.com,43
C0043,Customer 0043,West,Business,customer43@example.com,44
C0044,Customer 0044,West,Business,customer44@example.com,45
C0045,Customer 0045,North,Consumer,customer45@example.com,46
C0046,Customer 0046,West,Consumer,customer46@example.com,47
C0047,Customer 0047,West,Consumer,customer47@example.com,48
C0048,Customer 0048,East,Consumer,customer48@example.com,49
C0049,Customer 0049,North,Consumer,customer49@example.com,50
C0050,Customer 0050,North,Business,customer50@example.com,51
C0051,Customer 0051,West,Consumer,customer51@example.com,52
C0052,Customer 0052,North,Consumer,,53
C0053,Customer 0053,West,Business,customer53@example.com,54
C0054,Customer 0054,East,Business,customer54@example.com,55
C0055,Customer 0055,East,Consumer,customer55@example.com,56
C0056,Customer 0056,North,Consumer,customer56@example.com,57
C0057,Customer 0057,South,Business,customer57@example.com,58
C0058,Customer 0058,North,Consumer,customer58@example.com,59
C0059,Customer 0059,South,Business,customer59@example.com,60
C0060,Customer 0060,South,Business,customer60@example.com,61
C0061,Customer 0061,East,Business,customer61@example.com,62
C0062,Customer 0062,West,Business,customer62@example.com,63
C0063,Customer 0063,West,Consumer,customer63@example.com,64
C0064,Customer 0064,North,Business,customer64@example.com,65
C0065,Customer 0065,East,Consumer,customer65@example.com,66
C0066,Customer 0066,North,Business,customer66@example.com,67
C0067,Customer 0067,East,Business,customer67@example.com,68
C0068,Customer 0068,West,Consumer,customer68@example.com,69
C0069,Customer 0069,South,Business,,70
C0070,Customer 0070,West,Business,customer70@example.com,71
C0071,Customer 0071,West,Consumer,customer71@example.com,72
C0072,Customer 0072,South,Business,customer72@example.com,73
C0073,Customer 0073,South,Business,customer73@example.com,74
C0074,Customer 0074,South,Business,customer74@example.com,75
C0075,Customer 0075,South,Business,customer75@example.com,76
C0076,Customer 0076,East,Consumer,customer76@example.com,77
C0077,Customer 0077,West,Consumer,customer77@example.com,78
C0078,Customer 0078,West,Consumer,customer78@example.com,79
C0079,Customer 0079,West,Business,customer79@example.com,80
C0080,Customer 0080,East,Consumer,customer80@example.com,81
C0081,Customer 0081,North,Consumer,customer81@example.com,82
C0082,Customer 0082,North,Business,customer82@example.com,83
C0083,Customer 0083,West,Consumer,customer83@example.com,84
C0084,Customer 0084,West,Business,customer84@example.com,85
C0085,Customer 0085,South,Consumer,customer85@example.com,86
C0086,Customer 0086,North,Business,,87
C0087,Customer 0087,North,Business,customer87@example.com,88
C0088,Customer 0088,West,Business,customer88@example.com,89
C0089,Customer 0089,South,Business,customer89@example.com,90
C0090,Customer 0090,West,Business,customer90@example.com,91
C0091,Customer 0091,North,Business,customer91@example.com,92
C0092,Customer 0092,East,Consumer,customer92@example.com,93
C0093,Customer 0093,North,Consumer,customer93@example.com,94
C0094,Customer 0094,West,Consumer,customer94@example.com,95
C0095,Customer 0095,East,Consumer,customer95@example.com,96
C0096,Customer 0096,North,Consumer,customer96@example.com,97
C0097,Customer 0097,West,Business,customer97@example.com,98
C0098,Customer 0098,West,Business,customer98@example.com,99
C0099,Customer 0099,West,Consumer,customer99@example.com,100
C0100,Customer 0100,West,Consumer,customer100@example.com,101
C0101,Customer 0101,South,Business,customer101@example.com,102
C0102,Customer 0102,North,Consumer,customer102@example.com,103
C0103,Customer 0103,West,Consumer,,104
C0104,Customer 0104,North,Business,customer104@example.com,105
C0105,Customer 0105,South,Business,customer105@example.com,106
C0106,Customer 0106,East,Business,customer106@example.com,107
C0107,Customer 0107,South,Consumer,customer107@example.com,108
C0108,Customer 0108,East,Business,customer108@example.com,109
C0109,Customer 0109,West,Business,customer109@example.com,110
C0110,Customer 0110,West,Consumer,customer110@example.com,111
C0111,Customer 0111,South,Business,customer111@example.com,112
C0112,Customer 0112,South,Business,customer112@example.com,113
C0113,Customer 0113,South,Consumer,customer113@example.com,114
C0114,Customer 0114,North,Business,customer114@example.com,115
C0115,Customer 0115,North,Consumer,customer115@example.com,116
C0116,Customer 0116,West,Business,customer116@example.com,117
C0117,Customer 0117,North,Consumer,customer117@example.com,118
C0118,Customer 0118,West,Business,customer118@example.com,119
C0119,Customer 0119,North,Business,customer119@example.com,120
C0120,Customer 0120,South,Consumer,,121
C0121,Customer 0121,West,Business,customer121@example.com,122
C0122,Customer 0122,North,Business,customer122@example.com,123
C0123,Customer 0123,East,Consumer,customer123@example.com,124
C0124,Customer 0124,East,Consumer,customer124@example.com,125
C0125,Customer 0125,South,Business,customer125@example.com,126
C0126,Customer 0126,South,Business,customer126@example.com,127
C0127,Customer 0127,East,Business,customer127@example.com,128
C0128,Customer 0128,West,Business,customer128@example.com,129
C0129,Customer 0129,North,Business,customer129@example.com,130
C0130,Customer 0130,West,Business,customer130@example.com,131
C0131,Customer 0131,West,Business,customer131@example.com,132
C0132,Customer 0132,North,Consumer,customer132@example.com,133
C0133,Customer 0133,South,Consumer,customer133@example.com,134
C0134,Customer 0134,North,Consumer,customer134@example.com,135
C0135,Customer 0135,West,Consumer,customer135@example.com,136
C0136,Customer 0136,West,Consumer,customer136@example.com,137
C0137,Customer 0137,South,Consumer,,138
C0138,Customer 0138,South,Business,customer138@example.com,139
C0139,Customer 0139,North,Business,customer139@example.com,140
C0140,Customer 0140,East,Consumer,customer140@example.com,141
C0141,Customer 0141,East,Consumer,customer141@example.com,142
C0142,Customer 0142,West,Business,customer142@example.com,143
C0143,Customer 0143,West,Business,customer143@example.com,144
C0144,Customer 0144,North,Consumer,customer144@example.com,145
C0145,Customer 0145,West,Business,customer145@example.com,146
