customer_id,customer_name,region,segment,email
C0001,Customer 0001, east ,Business,
C0002,Customer 0002,West,Consumer,customer2@example.com
C0003,Customer 0003,North,Business,customer3@example.com
C0004,Customer 0004,North,Consumer,customer4@example.com
C0005,Customer 0005,South,Business,customer5@example.com
C0006,Customer 0006,East,Consumer,customer6@example.com
C0007,Customer 0007,North,Consumer,customer7@example.com
C0008,Customer 0008,North,Consumer,customer8@example.com
C0009,Customer 0009,South,Business,customer9@example.com
C0010,Customer 0010,West,Consumer,customer10@example.com
C0011,Customer 0011,North,Business,customer11@example.com
C0012,Customer 0012,West,Consumer,customer12@example.com
C0013,Customer 0013,West,Business,customer13@example.com
C0014,Customer 0014, north ,Business,customer14@example.com
C0015,Customer 0015,West,Consumer,customer15@example.com
C0016,Customer 0016,East,Consumer,customer16@example.com
C0017,Customer 0017,South,Consumer,customer17@example.com
C0018,Customer 0018,North,Consumer,
C0019,Customer 0019,North,Business,customer19@example.com
C0020,Customer 0020,West,Consumer,customer20@example.com
C0021,Customer 0021,West,Business,customer21@example.com
C0022,Customer 0022,East,Consumer,customer22@example.com
C0023,Customer 0023,South,Consumer,customer23@example.com
C0024,Customer 0024,South,Business,customer24@example.com
C0025,Customer 0025,East,Business,customer25@example.com
C0026,Customer 0026,South,Consumer,customer26@example.com
C0027,Customer 0027, north ,Consumer,customer27@example.com
C0028,Customer 0028,West,Consumer,customer28@example.com
C0029,Customer 0029,East,Consumer,customer29@example.com
C0030,Customer 0030,South,Business,customer30@example.com
C0031,Customer 0031,South,Consumer,customer31@example.com
C0032,Customer 0032,North,Business,customer32@example.com
C0033,Customer 0033,South,Business,customer33@example.com
C0034,Customer 0034,East,Consumer,customer34@example.com
C0035,Customer 0035,South,Business,
C0036,Customer 0036,West,Consumer,customer36@example.com
C0037,Customer 0037,East,Business,customer37@example.com
C0038,Customer 0038,South,Consumer,customer38@example.com
C0039,Customer 0039,North,Business,customer39@example.com
C0040,Customer 0040, north ,Consumer,customer40@example.com
C0041,Customer 0041,West,Business,customer41@example.com
C0042,Customer 0042,South,Consumer,customer42@example.com
C0043,Customer 0043,West,Business,customer43@example.com
C0044,Customer 0044,West,Business,customer44@example.com
C0045,Customer 0045,North,Consumer,customer45@example.com
C0046,Customer 0046,West,Consumer,customer46@example.com
C0047,Customer 0047,West,Consumer,customer47@example.com
C0048,Customer 0048,East,Consumer,customer48@example.com
C0049,Customer 0049,North,Consumer,customer49@example.com
C0050,Customer 0050,North,Business,customer50@example.com
C0051,Customer 0051,West,Consumer,customer51@example.com
C0052,Customer 0052,North,Consumer,
C0053,Customer 0053, west ,Business,customer53@example.com
C0054,Customer 0054,East,Business,customer54@example.com
C0055,Customer 0055,East,Consumer,customer55@example.com
C0056,Customer 0056,North,Consumer,customer56@example.com
C0057,Customer 0057,South,Business,customer57@example.com
